,Unnamed: 0,Id,Time,User,Content,hashtags,likes,Date
0,0,1609700854868897793,2023-01-01 23:59:25+00:00,shigezo,スーパーチャージャーのとこ来たらTesla渋滞。 https://t.co/B9owlmz4uh,,276,2023-01-01
1,1,1610061687742418944,2023-01-02 23:53:14+00:00,ShellenbergerMD,"@elonmusk @AlexEpstein @ScottAdamsSays @60Minutes @BjornLomborg @BrianGitt @HumanProgress @RitaPanahi @jordanbpeterson Yup

https://t.co/GyjoPR6Who",,1056,2023-01-02
2,2,1610425533073948681,2023-01-03 23:59:02+00:00,RedWingGrips,"@elonmusk The Twitter Files drops are cool - but you know what would be even better?

Indictments, arrests, prosecutions, and prison sentences.",,714,2023-01-03
3,3,1610787808221843461,2023-01-04 23:58:35+00:00,bessbell,Wow all this from the party that officially tweeted “Kanye. Elon. Trump.” a couple months ago?,,1537,2023-01-04
4,4,1611149961672130600,2023-01-05 23:57:39+00:00,JuddLegum,"If you are a member of the far right, you can simply tag @elonmusk with any complaint &amp; he will look into it right away.

Accounts are banned or restored. Rules are changed. 

If you ascribe to any other political ideology, you are on your own. 

This Twitter in 2023.",,1269,2023-01-05
5,5,1611510401597931521,2023-01-06 23:49:54+00:00,Zerosumgame33,"I’m currently working on a thread defending my views that &gt; 50% Megapack margins are factual, sustainable, defensible, and durable. 👀 excited to share. $TSLA",,707,2023-01-06
6,6,1611874760706912257,2023-01-07 23:57:44+00:00,Jason,"@elonmusk bonkers… they are making 3 year olds coming to see a 45 minute kid’s play wear masks — and turning ticket holders away because they forgot their vaccine cards 🤷🏼‍♂️ 

People are refusing to wear their masks—total chaos 🤦🏻‍♂️",,2155,2023-01-07
7,7,1612237676672962561,2023-01-08 23:59:50+00:00,BettyBowers,"@elonmusk ""I hope that the people who just broke into the bank and smashed the tellers' windows are able to resolve matters peacefully""",,470,2023-01-08
8,8,1612599532964954112,2023-01-09 23:57:43+00:00,javiernegre10,Hi @elonmusk. Help us out with @edatvoficial and @estadodalarmatv. Take it back to Twitter please https://t.co/qb2ydqFiLV https://t.co/1bmdGMOhe5,,2491,2023-01-09
9,9,1612959282776997889,2023-01-10 23:47:15+00:00,LunaOi_VN,Sending mixed signals here @elonmusk https://t.co/8susItH1SS,,265,2023-01-10
