,Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,Time
38,2023-03-03,194.8000030517578,200.47999572753906,192.8800048828125,197.7899932861328,154193300,0.0,0.0,00:00:00
39,2023-03-06,198.5399932861328,198.60000610351562,192.3000030517578,193.80999755859375,128100100,0.0,0.0,00:00:00
40,2023-03-07,191.3800048828125,194.1999969482422,186.10000610351562,187.7100067138672,148125800,0.0,0.0,00:00:00
41,2023-03-08,185.0399932861328,186.5,180.0,182.0,151897800,0.0,0.0,00:00:00
42,2023-03-09,180.25,185.17999267578125,172.50999450683594,172.9199981689453,170023800,0.0,0.0,00:00:00
43,2023-03-10,175.1300048828125,178.2899932861328,168.44000244140625,173.44000244140625,191488900,0.0,0.0,00:00:00
44,2023-03-13,167.4600067138672,177.35000610351562,163.91000366210938,174.47999572753906,167790300,0.0,0.0,00:00:00
45,2023-03-14,177.30999755859375,183.8000030517578,177.13999938964844,183.25999450683594,143717900,0.0,0.0,00:00:00
46,2023-03-15,180.8000030517578,182.33999633789062,176.02999877929688,180.4499969482422,145995600,0.0,0.0,00:00:00
47,2023-03-16,180.3699951171875,185.80999755859375,178.83999633789062,184.1300048828125,121136800,0.0,0.0,00:00:00
48,2023-03-17,184.52000427246094,186.22000122070312,177.3300018310547,180.1300048828125,133197100,0.0,0.0,00:00:00
49,2023-03-20,178.0800018310547,186.44000244140625,176.35000610351562,183.25,129684400,0.0,0.0,00:00:00
50,2023-03-21,188.27999877929688,198.0,188.0399932861328,197.5800018310547,153391400,0.0,0.0,00:00:00
51,2023-03-22,199.3000030517578,200.66000366210938,190.9499969482422,191.14999389648438,150376400,0.0,0.0,00:00:00
52,2023-03-23,195.25999450683594,199.30999755859375,188.64999389648438,192.22000122070312,144193900,0.0,0.0,00:00:00
53,2023-03-24,191.64999389648438,192.36000061035156,187.14999389648438,190.41000366210938,116531600,0.0,0.0,00:00:00
54,2023-03-27,194.4199981689453,197.38999938964844,189.94000244140625,191.80999755859375,120851600,0.0,0.0,00:00:00
55,2023-03-28,192.0,192.35000610351562,185.42999267578125,189.19000244140625,98654600,0.0,0.0,00:00:00
56,2023-03-29,193.1300048828125,195.2899932861328,189.44000244140625,193.8800048828125,123660000,0.0,0.0,00:00:00
57,2023-03-30,195.5800018310547,197.3300018310547,194.4199981689453,195.27999877929688,110252200,0.0,0.0,00:00:00
58,2023-03-31,197.52999877929688,207.7899932861328,197.1999969482422,207.4600067138672,169638500,0.0,0.0,00:00:00
59,2023-04-03,199.91000366210938,202.69000244140625,192.1999969482422,194.77000427246094,169545900,0.0,0.0,00:00:00
60,2023-04-04,197.32000732421875,198.74000549316406,190.32000732421875,192.5800018310547,126219900,0.0,0.0,00:00:00
61,2023-04-05,190.51499938964844,190.67999267578125,183.75999450683594,185.52000427246094,133081150,0.0,0.0,00:00:00
